N,n_seg,build_s,solve_s,direct_s,speedup,mdot_table,mdot_direct,mdot_rel_diff,max_P_diff_Pa,max_T_diff_K,n_outside_grid,n_failed_build,error
10,20,0.2964341640472412,4.647311210632324,61.33074879646301,13.197039323759471,3287.958081677646,3287.0282795986454,0.0002828701185114747,18231.4554220899,0.4459211552039051,0,0,
10,50,0.2964341640472412,6.755172252655029,70.52180171012878,10.439674825821228,3287.958081677646,3287.0282795986454,0.0002828701185114747,16456.662912425585,0.4148225442594935,0,0,
10,100,0.2964341640472412,9.052462100982666,98.28722476959229,10.857512980797011,3287.958081677646,3287.0282795986454,0.0002828701185114747,13468.866090341005,0.22292959741099594,0,0,
10,200,0.2964341640472412,13.82978892326355,149.69330763816833,10.82397630714119,3287.958081677646,3287.0282795986454,0.0002828701185114747,7468.914926999249,0.16707664540507494,0,0,
10,400,0.2964341640472412,24.267539262771606,239.02973675727844,9.849772330397323,3287.958081677646,3289.2708880562304,0.0003991177447109405,3710.744697823189,0.10165288671873896,0,0,
15,20,0.5879569053649902,4.484485626220703,61.33074879646301,13.676205903719097,3287.5099329799536,3287.0282795986454,0.00014653155991922804,5267.817772695795,0.12312167788417128,0,0,
15,50,0.5879569053649902,5.9514360427856445,70.52180171012878,11.849543740895209,3287.5099329799536,3287.0282795986454,0.00014653155991922804,15713.088688880205,0.4043690335382166,0,0,
15,100,0.5879569053649902,8.080344200134277,98.28722476959229,12.16374232770418,3287.5099329799536,3287.0282795986454,0.00014653155991922804,22714.129468516912,0.4680878226494656,0,0,
15,200,0.5879569053649902,12.703657388687134,149.69330763816833,11.783481170664542,3287.5099329799536,3287.0282795986454,0.00014653155991922804,11458.18003582349,0.2430988099509932,0,0,
15,400,0.5879569053649902,23.68914008140564,239.02973675727844,10.090266507601113,3287.5099329799536,3289.2708880562304,0.0005353633483551151,20253.810168415774,0.512009511375652,0,0,
20,20,1.0436670780181885,4.336399555206299,61.33074879646301,14.143242110342223,3287.26609686827,3287.0282795986454,7.235023534798041e-05,5128.2798435851,0.13756580316709233,0,0,
20,50,1.0436670780181885,5.740516901016235,70.52180171012878,12.284921885282563,3287.26609686827,3287.0282795986454,7.235023534798041e-05,3967.7476568636484,0.09417533292361213,0,0,
20,100,1.0436670780181885,7.540931701660156,98.28722476959229,13.033830388352952,3287.26609686827,3287.0282795986454,7.235023534798041e-05,22731.312759522814,0.5525655673631036,0,0,
20,200,1.0436670780181885,11.815478801727295,149.69330763816833,12.669254471201352,3287.26609686827,3287.0282795986454,7.235023534798041e-05,20890.0061157709,0.5015837120681681,0,0,
